PLAYER,TEAM,GP,PTS
Thomas Bryant,WAS,46,13.2
Thon Maker,DET,60,4.7
Tim Frazier,DET,27,3.6
Tim Hardaway Jr.,DAL,71,15.8
Timothe Luwawu-Cabarrot,BKN,47,7.8
Tobias Harris,PHI,72,19.6
Tomas Satoransky,CHI,65,9.9
Tony Bradley,UTA,58,4.9
Tony Snell,DET,59,8
Torrey Craig,DEN,58,5.4
Trae Young,ATL,60,29.6
Tremont Waters,BOS,11,3.6
Treveon Graham,ATL,55,4.4
Trevor Ariza,POR,53,8
Trey Burke,DAL,33,7.4
Trey Lyles,SAS,63,6.4
Tristan Thompson,CLE,57,12
Troy Brown Jr.,WAS,69,10.4
Troy Daniels,DEN,47,4.3
Ty Jerome,PHX,31,3.3
Tyler Cook,DEN,13,1.8
Tyler Herro,MIA,55,13.5
Tyler Johnson,BKN,39,7
Tyler Zeller,SAS,2,1
Tyrone Wallace,ATL,14,2.9
Tyson Chandler,HOU,26,1.3
Tyus Jones,MEM,65,7.4
Udonis Haslem,MIA,4,3
Vic Law,ORL,8,1.9
Victor Oladipo,IND,19,14.5
Vince Carter,ATL,60,5
Vincent Poirier,BOS,22,1.9
Vlatko Cancar,DEN,14,1.2
Wayne Ellington,NYK,36,5.1
Wendell Carter Jr.,CHI,43,11.3
Wenyen Gabriel,POR,30,2.1
Wes Iwundu,ORL,52,5.8
Wesley Matthews,MIL,67,7.4
Will Barton,DEN,58,15.1
William Howard,HOU,2,0
Willie Cauley-Stein,DAL,54,7.2
Willy Hernangomez,CHA,31,6.1
Wilson Chandler,BKN,35,5.9
Yogi Ferrell,SAC,50,4.4
Yuta Watanabe,MEM,18,2
Zach Collins,POR,11,7
Zach LaVine,CHI,60,25.5
Zach Norvell Jr.,GSW,5,2
Zhaire Smith,PHI,7,1.1
Zion Williamson,NOP,24,22.5
Zylan Cheatham,NOP,4,3
