FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Dylan,Windler,CLE,26,6,7,79,196,Belmont,USA,2019,1,26,3,3,0,3.5,1.7,0.7,1,66.7,0.3,0.7,50,0,0,0,0,0,0,0.3,0.3,0.3,0,0,2.8,0,0,-0.3,4.4,0,0,18.2,83.3,20
Justise,Winslow,POR,27,6,6,78,222,Duke,USA,2015,1,10,29,15,14,26.8,6.8,2.8,6.8,40.9,0.5,1.6,31.1,0.7,1,71.4,1.7,3.3,5,3.4,1.5,1,0.4,3.1,20.6,1,0,-1.3,-2.6,6.2,12.3,13.9,46.6,17.7
James,Wiseman,DET,22,7,1,85,240,Memphis,USA,2020,1,2,45,11,34,19.3,10,4.2,7.5,55.8,0.1,0.4,20,1.5,2.2,70.1,1.6,4.3,5.9,0.7,1.1,0.2,0.6,2.4,19.3,8,0,-7.3,-17.2,8.4,23.1,21.2,58.9,5.7
Christian,Wood,DAL,27,6,9,81,214,UNLV,USA,Undrafted,Undrafted,Undrafted,67,33,34,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,1.3,6,7.3,1.8,1.8,0.4,1.1,2.5,30.9,12,0,-0.7,-1.3,5.3,23.8,25.9,62.4,11.9
Delon,Wright,WAS,31,6,5,77,185,Utah,USA,2015,1,20,50,26,24,24.4,7.4,2.8,5.8,47.4,0.8,2.4,34.5,1,1.2,86.7,1.2,2.4,3.6,3.9,0.9,1.8,0.3,1.2,23.2,0,0,1.4,3.2,5,9.7,12.5,58.1,20.9
McKinley,Wright IV,DAL,24,5,11,71,192,Colorado,USA,Undrafted,Undrafted,Undrafted,27,14,13,12.4,4.2,1.7,3.6,46.9,0.3,1,32.1,0.5,0.7,68.4,0.3,1.4,1.7,2.1,0.7,0.3,0.2,0.9,10.3,0,0,-4.1,-14.9,2.6,10.9,16,53.6,27.5
Gabe,York,IND,29,6,3,75,190,Arizona,USA,Undrafted,Undrafted,Undrafted,3,1,2,18.6,8,2.7,7,38.1,2,6,33.3,0.7,0.7,100,0,2,2,1.7,0,0.7,0,1.7,14.9,0,0,8,17.4,0,9.4,17.3,54.8,10.9
Thaddeus,Young,TOR,35,6,8,80,235,Georgia Tech,USA,2007,1,12,54,23,31,14.7,4.4,2,3.7,54.5,0.1,0.6,17.6,0.3,0.5,69.2,1.3,1.8,3.1,1.4,0.8,1,0.1,1.6,12.7,0,0,-1.7,-5.6,8.3,13.6,13.1,57.3,13.3
Trae,Young,ATL,24,6,1,73,164,Oklahoma,USA,2018,1,5,73,38,35,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1,0.1,1.4,44.6,40,0,1.4,1.3,2.1,6.2,31.3,57.3,41.4
Omer,Yurtseven,MIA,25,6,11,83,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,9,5,4,9.2,4.4,1.8,3,59.3,0.3,0.8,42.9,0.6,0.7,83.3,0.9,1.7,2.6,0.2,0.4,0.2,0.2,1.8,8.7,0,0,1.1,1.7,8.9,17.9,15.9,67.5,3.5
Cody,Zeller,MIA,30,6,11,83,240,Indiana,USA,2013,1,4,15,6,9,14.4,6.5,2.5,3.9,62.7,0,0.1,0,1.6,2.3,68.6,1.7,2.6,4.3,0.7,0.9,0.2,0.3,2.2,13.1,0,0,-3.2,-10.3,11.7,20,17.5,65.9,7.7
Ivica,Zubac,LAC,26,7,1,85,240,None,Croatia,2016,2,32,76,43,33,28.5,10.8,4.3,6.8,63.4,0,0,0,2.2,3.1,69.7,3.1,6.8,9.9,1,1.5,0.4,1.3,2.9,27.7,27,0,-0.4,-0.6,11.4,23.8,14.9,66.1,5
