FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Montrezl,Harrell,PHI,29,6,7,79,240,Louisville,USA,2015,2,32,57,35,22,11.9,5.6,2.2,3.7,59.8,0,0.1,0,1.2,1.8,69.3,1.2,1.6,2.8,0.6,0.6,0.3,0.4,1.3,11.4,1,0,0.3,2.2,10,13.3,17.8,63.1,7.3
Gary,Harris,ORL,28,6,4,76,210,Michigan State,USA,2014,1,19,48,22,26,24.7,8.3,2.9,6.4,45,2,4.5,43.1,0.6,0.6,90,0.4,1.6,2,1.2,0.6,0.9,0.3,1.9,15.5,0,0,-1.8,-2.8,1.8,6.9,12.5,62,6.7
Joe,Harris,BKN,31,6,6,78,220,Virginia,USA,2014,2,33,74,40,34,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.6,0.5,0.2,1.9,13.7,0,0,-0.3,-1,1.6,8.9,14.1,62.1,9.1
Kevon,Harris,ORL,26,6,6,78,216,Stephen F. Austin,USA,Undrafted,Undrafted,Undrafted,34,12,22,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,0.8,1.2,2.1,0.5,0.6,0.5,0.1,1.6,8.6,0,0,0,0.3,5.7,9.2,12.9,56.4,4.9
Tobias,Harris,PHI,30,6,7,79,226,Tennessee,USA,2011,1,19,74,47,27,32.9,14.7,5.7,11.4,50.1,1.7,4.4,38.9,1.5,1.7,87.6,0.9,4.8,5.7,2.5,1.2,0.9,0.5,2,28.5,7,0,4,5.5,3,15,18,60.2,11.4
Shaquille,Harrison,LAL,29,6,4,76,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,5,1,4,24,8.8,3,7.2,41.7,0.6,2,30,2.2,3,73.3,0.2,4.2,4.4,6,1.2,2.2,0.4,2.4,29.7,1,0,-0.2,-0.4,0.8,18.4,16.2,51.6,30.6
Josh,Hart,NYK,28,6,4,76,215,Villanova,USA,2017,1,30,76,42,34,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75,1.9,5.9,7.8,3.8,1.5,1.2,0.3,2.6,27.6,10,0,4.1,5.9,6,18.5,12.4,62.2,15.4
Isaiah,Hartenstein,NYK,25,7,1,85,250,None,Germany,2017,2,43,82,47,35,19.9,5,2.1,4,53.5,0.1,0.5,21.6,0.6,0.9,67.6,2.5,4,6.5,1.2,0.8,0.6,0.8,2.6,18.1,2,0,1.8,4.4,12.2,19.2,10.7,56.7,8.3
Udonis,Haslem,MIA,43,6,7,79,235,Florida,USA,Undrafted,Undrafted,Undrafted,7,4,3,10.3,3.9,1.4,4.1,34.5,0.4,1.3,33.3,0.6,0.7,80,0.6,1,1.6,0,0.1,0.1,0.3,1.6,6.9,0,0,-3.6,-11.8,4.7,10.1,18.5,43.3,0
Sam,Hauser,BOS,25,6,7,79,217,Virginia,USA,Undrafted,Undrafted,Undrafted,80,55,25,16.1,6.4,2.3,5,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.4,0.3,1.2,12.3,0,0,2.7,7.7,2.7,12.1,14.1,63.4,7.6
Jaxson,Hayes,NOP,23,7,1,85,220,Texas,USA,2019,1,8,47,22,25,13,5,1.8,3.3,55.1,0.1,0.6,10.3,1.2,1.8,69.9,0.8,2,2.8,0.7,0.7,0.4,0.4,1.4,11.2,0,0,-1.5,-5.4,5.8,15.3,14.9,60.5,8.8
Killian,Hayes,DET,21,6,5,77,195,None,France,2020,1,7,76,16,60,28.3,10.3,4,10.7,37.7,1.1,3.8,28,1.2,1.5,82.1,0.4,2.5,2.9,6.2,2.3,1.4,0.4,2.9,26,6,0,-6.6,-10.9,1.2,9.2,20.1,45.5,32.5
Gordon,Hayward,CHA,33,6,7,79,225,Butler,USA,2010,1,9,50,20,30,31.5,14.7,5.5,11.6,47.5,1,3.2,32.5,2.6,3.2,81.1,0.7,3.6,4.3,4.1,2,0.8,0.2,1.4,27.3,2,0,-2.2,-3.3,2,11.2,19.6,56.3,18.7
Juancho,Hernangomez,TOR,27,6,9,81,214,None,Spain,2016,1,15,42,20,22,14.6,2.9,1.1,2.7,42.1,0.4,1.6,25.4,0.2,0.4,56.3,0.6,2.3,2.9,0.6,0.4,0.4,0.1,1,8.5,1,0,0.3,0.5,4.2,16.9,9.2,50.4,5.1
Willy,Hernangomez,NOP,29,6,11,83,250,None,Spain,2015,2,35,38,23,15,12,6.9,2.3,4.4,52.7,0.1,0.3,27.3,2.1,2.7,77.9,1.5,3.2,4.7,0.9,1,0.4,0.3,1.7,15.2,2,0,0.5,1.7,11.8,26.2,22.2,61,11.4
Tyler,Herro,MIA,23,6,5,77,195,Kentucky,USA,2019,1,13,67,37,30,34.9,20.1,7.3,16.6,43.9,3,8,37.8,2.5,2.7,93.4,0.4,5,5.4,4.2,2.4,0.8,0.2,1.5,33.5,6,1,2.5,2.7,1.2,15.4,25,56.6,19
Buddy,Hield,IND,30,6,4,76,220,Oklahoma,Bahamas,2016,1,6,80,35,45,31,16.8,5.9,13,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5,2.8,1.7,1.2,0.3,2,29.7,3,0,-1.1,-1.9,2.7,13.2,20.5,61.4,13.1
Haywood,Highsmith,MIA,26,6,5,77,220,Wheeling Jesuit,USA,2018,,,54,28,26,18,4.4,1.7,4,43.1,0.7,2,33.9,0.2,0.5,46.4,1.1,2.4,3.5,0.8,0.8,0.7,0.3,1.5,11.9,2,0,-1.9,-5.2,5.5,13.5,12.1,51.7,6.5
George,Hill,IND,37,6,4,76,188,Indiana-Purdue Indianapolis,USA,2008,1,26,46,27,19,18.1,5,1.7,3.6,47,0.7,2.1,35.8,0.9,1.2,76.4,0.3,1.5,1.8,2.4,0.7,0.6,0.1,1.2,12.2,0,0,0.9,1.9,1.7,7.7,11,61,17.8
Malcolm,Hill,CHI,27,6,6,78,220,Illinois,USA,Undrafted,Undrafted,Undrafted,5,4,1,1.8,1,0.4,0.8,50,0.2,0.6,33.3,0,0,0,0,0.6,0.6,0,0,0,0,0.2,1.7,0,0,1.8,39.1,0,21.4,16.7,62.5,0
Aaron,Holiday,ATL,26,6,1,73,185,UCLA,USA,2018,1,23,63,32,31,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,0.4,0.8,1.2,1.4,0.6,0.6,0.2,1.3,9.2,0,0,0.3,0.9,2.8,5.9,12.9,52.8,13.5
Jrue,Holiday,MIL,33,6,5,77,205,UCLA,USA,2009,1,17,67,50,17,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,2.9,1.2,0.4,1.7,38.2,16,0,7.2,9.2,3.5,10.7,24.4,58.6,32.1
Justin,Holiday,DAL,34,6,6,78,180,Washington,USA,Undrafted,Undrafted,Undrafted,46,18,28,15.4,4.5,1.7,4.4,37.7,1,3.1,32.2,0.1,0.2,62.5,0.1,1.1,1.2,0.9,0.5,0.4,0.4,1.5,9.2,0,0,-2.8,-9.1,0.7,6.7,13.2,49.4,8
Richaun,Holmes,SAC,29,6,8,80,235,Bowling Green,USA,2015,2,37,42,22,20,8.3,3.1,1.3,2.1,61.8,0.1,0.2,62.5,0.4,0.5,78.9,0.7,1.2,1.9,0.2,0.3,0.1,0.3,1.2,6.4,1,0,-1.6,-9.3,8.2,14.9,13.2,66.8,4
Al,Horford,BOS,37,6,9,81,240,Florida,Dominican Republic,2007,1,3,63,44,19,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5,6.2,3,0.6,0.5,1,1.9,25.5,7,0,4.9,7.8,3.9,15.9,11.9,63.1,12.8
Talen,Horton-Tucker,UTA,22,6,4,76,234,Iowa State,USA,2019,2,46,65,30,35,20.2,10.7,4,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75,0.6,2.6,3.2,3.8,1.9,0.6,0.4,1.7,21.6,2,0,-0.1,0.1,3,11.7,25,50.8,27.4
Danuel,House Jr.,PHI,30,6,6,78,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,56,38,18,14.4,4.8,1.7,3.5,47.2,0.7,2,33.6,0.8,1.1,75,0.2,1.5,1.7,0.8,0.5,0.3,0.2,1.2,8.7,0,0,-0.3,0.3,1.2,10.7,13.3,60,7.4
Caleb,Houstan,ORL,20,6,8,80,205,Michigan,Canada,2022,2,32,51,20,31,15.9,3.8,1.3,3.6,36.3,0.9,2.7,33.8,0.3,0.4,83.3,0.7,1.3,1.9,0.6,0.4,0.2,0.1,1.2,7.8,0,0,-1.6,-5.3,4.1,8.3,10.7,50.8,5.1
Trevor,Hudgins,HOU,24,6,1,73,180,Northwest Missouri State,USA,Undrafted,Undrafted,Undrafted,5,0,5,5.7,1.8,0.4,1.8,22.2,0.4,1.6,25,0.6,0.6,100,0,0,0,0.6,0.2,0,0,0.2,2.5,0,0,0.6,7,0,0,17.7,43.6,17.6
Kevin,Huerter,SAC,24,6,7,79,198,Maryland,USA,2018,1,19,75,44,31,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,0.6,2.8,3.3,2.9,1.3,1.1,0.3,2.4,26.5,0,0,3,4.5,2,10,19.7,61.7,13.7
Jay,Huff,WAS,25,7,1,85,240,Virginia,USA,Undrafted,Undrafted,Undrafted,7,2,5,13.6,7.3,2.1,3.6,60,0.9,1.7,50,2.1,2.3,93.8,0.9,2.1,3,1.4,0.7,0.4,0.6,2.1,15.3,0,0,-1,-1.1,6,15.3,15.5,79.6,13.5
De'Andre,Hunter,ATL,25,6,8,80,221,Virginia,USA,2019,1,4,67,35,32,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5,0.3,3,23.7,1,0,-0.3,-0.6,2.1,11.2,19.3,56.3,5.9
Bones,Hyland,LAC,22,6,2,74,169,Virginia Commonwealth,USA,2021,1,26,56,36,20,19.4,11.8,4.1,10.2,39.9,2.1,5.6,37.1,1.5,1.8,84.3,0.4,2.1,2.4,3.1,1.5,0.7,0.3,1.7,20.7,1,0,-2.3,-5.3,1.9,11.1,27.1,53.5,24.5
Serge,Ibaka,MIL,33,6,11,83,235,None,Democratic Republic of the Congo,2008,1,24,16,11,5,11.6,4.1,1.6,3.4,48.1,0.4,1.1,33.3,0.5,0.8,61.5,0.9,1.8,2.8,0.3,0.7,0.1,0.4,1.4,8.8,0,0,-1.6,-6.5,7.3,15.3,15.9,55.3,3.6
Andre,Iguodala,GSW,39,6,6,78,215,Arizona,USA,2004,1,9,8,3,5,14.1,2.1,0.9,1.9,46.7,0.1,1.1,11.1,0.3,0.4,66.7,0.4,1.8,2.1,2.4,1.1,0.5,0.4,1.4,9.7,0,0,4.4,12,2.7,11.3,8.9,52.1,18.3
Joe,Ingles,MIL,35,6,9,81,220,None,Australia,Undrafted,Undrafted,Undrafted,46,32,14,22.7,6.9,2.3,5.4,43.5,1.8,4.4,40.9,0.4,0.5,85.7,0.3,2.5,2.8,3.3,1.2,0.7,0.1,1.6,16.5,1,0,1.7,2.5,1.2,10.2,12.2,61.6,18.1
Brandon,Ingram,NOP,25,6,8,80,190,Duke,USA,2016,1,2,45,23,22,34.2,24.7,9,18.6,48.4,1.4,3.6,39,5.3,6,88.2,0.5,5,5.5,5.8,3.3,0.7,0.4,2.6,40.1,6,2,2.1,3,1.5,14.5,30.6,58.2,27.7
Kyrie,Irving,DAL,31,6,2,74,195,Duke,Australia,2011,1,1,60,32,28,37.3,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1,4.1,5.1,5.5,2.1,1.1,0.8,2.8,44.8,5,0,3.7,4.7,2.9,10.7,28.6,61.3,23.3
Jonathan,Isaac,ORL,25,6,10,82,230,Florida State,USA,2017,1,6,11,8,3,11.3,5,2,4.8,41.5,0.5,1.4,40,0.5,0.8,55.6,1.4,2.6,4,0.5,0.4,1.3,0.4,0.5,15.2,0,0,-1.7,-5.8,9.9,25,19.8,48.3,8.5
Jaden,Ivey,DET,21,6,4,76,195,Purdue,USA,2022,1,5,74,16,58,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8,0,-8.7,-13,3,9.4,25.1,52.8,26.9
Frank,Jackson,UTA,25,6,3,75,205,Duke,USA,2017,2,31,1,0,1,5.1,0,0,3,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,3.9,0,0,-2,-22.2,12.5,33.3,25,0,25
Isaiah,Jackson,IND,21,6,9,81,205,Kentucky,USA,2021,1,22,63,24,39,16.5,7.2,2.8,5,56.3,0,0.2,14.3,1.5,2.3,65.1,1.8,2.7,4.5,0.8,0.8,0.5,1.5,2.4,18.9,5,0,-2,-5.6,10,15.9,16.5,59.5,7.1
Justin,Jackson,BOS,28,6,8,80,220,North Carolina,USA,2017,1,15,23,15,8,4.7,0.9,0.3,1.2,25.9,0.2,0.9,25,0,0.1,50,0.1,0.7,0.7,0.4,0.1,0.2,0.2,0.3,3.3,0,0,-3.1,-28.3,1.7,11.9,12.2,35.9,14.5
Quenton,Jackson,WAS,24,6,5,77,173,Texas A&M,USA,Undrafted,Undrafted,Undrafted,9,3,6,15,6.2,2.1,4.7,45.2,0.1,1.3,8.3,1.9,2.4,77.3,0.2,0.7,0.9,1.7,0.4,0.4,0.1,1.1,11,0,0,-1.9,-6.7,1.4,4.4,16.4,54.2,15.5
Reggie,Jackson,DEN,33,6,2,74,208,Boston College,USA,2011,1,24,68,36,32,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1,1.1,91,0.4,1.8,2.1,3.4,1.7,0.7,0.1,1.7,18.5,1,0,-1.2,-2.2,1.5,7.1,20.5,51.4,21.1
Jaren,Jackson Jr.,MEM,23,6,10,82,242,Michigan State,USA,2018,1,4,63,41,22,28.4,18.6,6.6,13,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5,6.8,1,1.7,1,3,3.6,38.6,7,0,5.8,9.8,5.8,15.9,24.3,61.3,4.8
LeBron,James,LAL,38,6,9,81,250,None,USA,2003,1,1,55,30,25,35.5,28.9,11.1,22.2,50,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18,2,3.9,4.6,3.3,19.1,32.2,58.3,30.8
Ty,Jerome,GSW,25,6,5,77,195,Virginia,USA,2019,1,24,45,22,23,18.1,6.9,2.6,5.4,48.8,0.8,2,38.9,0.8,0.9,92.7,0.2,1.6,1.7,3,0.7,0.5,0.1,1.4,14.6,0,0,-2,-5.6,0.9,9.1,14.7,59.4,23.3
Isaiah,Joe,OKC,23,6,3,75,165,Arkansas,USA,2020,2,49,73,36,37,19.1,9.5,3.1,7,44.1,2.2,5.4,40.9,1.1,1.4,82,0.4,2,2.4,1.2,0.5,0.7,0.1,1.4,15.9,0,0,2.9,5.1,1.8,10.8,17,62.6,8.7
Alize,Johnson,SAS,27,6,8,80,212,Missouri State,USA,2018,2,50,4,1,3,7.4,1.8,0.8,1.5,50,0,0.5,0,0.3,0.5,50,0.5,2,2.5,0.3,1,0.3,0,0.8,4.9,0,0,3,19,6.3,21.1,14.5,50.9,4.2
Cameron,Johnson,BKN,27,6,8,80,210,North Carolina,USA,2019,1,11,42,25,17,28.6,15.5,5.3,11.3,47,2.5,6.1,40.4,2.4,2.9,84.2,0.8,3.6,4.4,1.9,0.9,1.2,0.3,2,27.2,1,0,3.7,6.6,2.9,12,20.2,61.7,9.9
Jalen,Johnson,ATL,21,6,8,80,219,Duke,USA,2021,1,20,70,35,35,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4,1.2,0.6,0.5,0.5,1.6,14.8,1,0,-0.1,0.3,4.7,21.4,15.6,55.4,10.6
James,Johnson,IND,36,6,7,79,240,Wake Forest,USA,2009,1,16,18,7,11,9,2.8,1.2,2.7,44.9,0.2,0.8,20,0.2,0.4,50,0.2,1.4,1.7,0.8,0.4,0.4,0.3,1.8,7.8,0,0,-0.4,-1.1,2.2,17.3,15.2,48.6,13.5
Keldon,Johnson,SAS,23,6,5,77,220,Kentucky,USA,2019,1,29,63,17,46,32.8,22,8,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,0.9,4.2,5,2.9,2.1,0.7,0.2,2,33,5,0,-7.8,-11.3,2.5,13.3,27.3,55.1,13.7
Keon,Johnson,POR,21,6,3,75,185,Tennessee,USA,2021,1,21,40,13,27,10.4,4.7,1.7,4.5,37.6,0.7,2,34.6,0.7,1,65.9,0.3,0.8,1.1,1.5,1.1,0.5,0.2,1.1,9.1,0,0,-3.8,-16.2,2.5,8.6,23.7,48.2,22.6
Stanley,Johnson,SAS,27,6,6,78,242,Arizona,USA,2015,1,8,30,5,25,15.6,5.8,2.2,4.1,53.3,0.6,1.3,45,0.9,1.3,66.7,0.7,2.4,3.2,2.2,1.1,0.5,0.2,1.6,14.1,0,0,-3.1,-7,4.7,15,14.8,62.5,17.9
Nikola,Jokic,DEN,28,6,11,83,284,None,Serbia,2014,2,41,69,48,21,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6,82.2,2.4,9.4,11.8,9.8,3.6,1.3,0.7,2.5,55.7,58,29,9.3,12.5,8,28.3,26.3,70.1,41.2
Carlik,Jones,CHI,25,6,1,73,174,Louisville,USA,Undrafted,Undrafted,Undrafted,7,4,3,8,2.9,0.9,2.1,40,0.4,0.9,50,0.7,1.1,62.5,0.1,0.6,0.7,0.9,0.3,0.3,0,0.3,5.6,0,0,3.7,20.7,1.6,6.9,15.3,54,13.3
Damian,Jones,UTA,28,6,11,83,245,Vanderbilt,USA,2016,1,30,41,12,29,11.6,3.5,1.3,2.1,64,0.2,0.4,58.8,0.5,0.7,75.9,1,2,3,0.4,0.6,0.2,0.5,1.3,9.1,1,0,-2,-9,7.8,15.2,10.2,71.9,4.4
Herbert,Jones,NOP,24,6,7,79,206,Alabama,USA,2021,2,35,66,31,35,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.3,1.6,0.6,3.2,23.7,0,0,2.3,3.9,5.1,8.9,14.4,56.7,10.8
Kai,Jones,CHA,22,6,11,83,221,Texas,Bahamas,2021,1,19,46,13,33,11.9,3.4,1.5,2.6,55.8,0.1,0.4,21.1,0.4,0.6,73.1,0.8,1.9,2.7,0.3,0.7,0.4,0.7,1.4,9.5,1,0,-0.7,-3.1,6.5,14.6,12.1,59.7,4.1
Tre,Jones,SAS,23,6,1,73,185,Duke,USA,2020,2,41,68,20,48,29.2,12.9,5,10.9,45.9,0.7,2.3,28.5,2.2,2.5,86,0.8,2.8,3.6,6.6,1.6,1.3,0.1,1.4,29.8,6,2,-4.8,-7.8,2.6,9.9,18.9,53.4,30.6
Tyus,Jones,MEM,27,6,2,74,196,Duke,USA,2015,1,24,80,51,29,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1,1.2,80.6,0.4,2.2,2.5,5.2,0.9,1,0.1,0.4,23.5,9,1,1.2,2,1.4,8.4,17.5,54.6,28.6
Derrick,Jones Jr.,CHI,26,6,6,78,210,UNLV,USA,Undrafted,Undrafted,Undrafted,64,29,35,14,5,1.8,3.6,50,0.4,1.3,33.8,1,1.3,73.8,0.9,1.5,2.4,0.5,0.4,0.5,0.6,1.3,11.4,0,0,1.9,6.7,6.9,9.8,13.8,59.7,5.2
DeAndre,Jordan,DEN,34,6,11,83,265,Texas A&M,USA,2008,2,35,39,23,16,15,5.1,2.3,2.9,76.5,0,0,100,0.6,1.2,45.8,1.3,3.8,5.2,0.9,1.2,0.3,0.6,1.8,14.1,2,0,-3.1,-8.4,9.4,25.2,13.4,73.1,8.4
Cory,Joseph,DET,31,6,3,75,200,Texas,Canada,2011,1,29,62,12,50,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.9,0.5,0.1,1.4,15.4,0,0,-1.8,-4.1,1.6,7,14.9,55.8,25.6
Nikola,Jovic,MIA,20,6,10,82,205,None,Serbia,2022,1,27,15,7,8,13.6,5.5,1.9,4.6,40.6,0.5,2.3,22.9,1.2,1.3,94.7,0.6,1.5,2.1,0.7,0.7,0.5,0.1,1.3,10.1,0,0,-1.1,-3.5,4.3,11.9,18.5,53,7.6
Johnny,Juzang,UTA,22,6,6,78,209,UCLA,USA,Undrafted,Undrafted,Undrafted,18,6,12,12.9,4.8,1.9,5.8,33.7,0.8,3.5,23.8,0.1,0.2,50,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,9.1,0,0,-4.8,-17.7,2.9,12.2,18.7,41.1,5.1
Mfiondu,Kabengele,BOS,25,6,10,82,250,Florida State,Canada,2019,1,27,4,3,1,9.1,1.5,0.5,1.8,28.6,0,0.8,0,0.5,0.5,100,1.3,1.3,2.5,0,0.3,0.5,0,0.8,5.8,0,0,-1.3,-6.9,13.2,15.2,10.7,38.1,0
Frank,Kaminsky,HOU,30,7,1,85,240,Wisconsin,USA,2015,1,9,36,13,23,6.5,2.5,0.9,1.8,49.2,0.4,0.9,39.4,0.4,0.4,87.5,0.2,1.3,1.4,0.9,0.3,0.2,0.1,0.6,6.1,0,0,-0.1,-1.9,2.9,20.7,14.6,63.5,19.4
Trevor,Keels,NYK,19,6,4,76,221,Duke,USA,2022,2,42,3,3,0,2.7,1,0.3,1.3,25,0.3,1.3,25,0,0,0,0,0.7,0.7,0,0,0,0,0,1.8,0,0,-6,-94.7,0,25,21.1,37.5,0
Luke,Kennard,MEM,27,6,5,77,206,Duke,USA,2017,1,12,59,37,22,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.8,0.5,0.1,1.4,15.9,0,0,3.6,7.3,1.2,10.4,14.4,68.4,9.1
Walker,Kessler,UTA,21,7,1,85,245,Auburn,USA,2022,1,22,74,34,40,23,9.2,4,5.6,72,0,0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.8,0.4,2.3,2.3,27.9,20,0,1,3,13.3,20.5,13,70.2,5.7
Braxton,Key,DET,26,6,8,80,225,Virginia,USA,Undrafted,Undrafted,Undrafted,3,0,3,3,1.3,0.3,0.3,100,0,0,0,0.7,0.7,100,0,0.3,0.3,0,0,0,0,0,1.7,0,0,-1,-4.5,0,6.7,9.1,106.4,0
Louis,King,PHI,24,6,7,79,205,Oregon,USA,Undrafted,Undrafted,Undrafted,1,1,0,28.8,20,8,13,61.5,4,8,50,0,1,0,2,2,4,2,2,1,0,4,28.8,0,0,2,5.2,6.7,7.4,20.5,74.4,9.1
Corey,Kispert,WAS,24,6,6,78,224,Gonzaga,USA,2021,1,15,74,31,43,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1,1.2,85.2,0.4,2.4,2.8,1.2,0.7,0.4,0.1,1.3,17.1,0,0,-1.7,-3.2,1.6,8.2,13.9,65.7,5.6
Maxi,Kleber,DAL,31,6,10,82,240,None,Germany,Undrafted,Undrafted,Undrafted,37,18,19,25.1,5.9,2.1,4.6,45.6,1.1,3,34.8,0.7,1,71.1,0.8,2.8,3.6,1.4,0.7,0.3,0.8,2.3,15.1,0,0,-1.2,-2.9,3.3,11.6,10,59.2,7.9
Nathan,Knight,MIN,25,6,8,80,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,38,19,19,7.7,3.7,1.2,2.1,56.8,0.2,0.6,36.4,1,1.5,68.4,0.6,0.9,1.5,0.3,0.6,0.3,0.2,1.1,6.7,0,0,-0.2,-2.3,7.2,11.8,17.7,65.5,6.5
Kevin,Knox II,POR,23,6,7,79,215,Kentucky,USA,2018,1,9,63,12,51,15.1,6.6,2.4,5.3,45.8,1,3,34.9,0.7,1,76.7,0.5,2.3,2.8,0.5,0.8,0.4,0.2,1.5,11.7,2,0,-3.6,-11.4,3.3,15.2,17.5,57.9,5.3
Christian,Koloko,TOR,23,7,1,85,230,Arizona,Cameroon,2022,2,33,58,29,29,13.8,3.1,1.2,2.6,48,0,0.2,8.3,0.6,1,62.7,1.4,1.5,2.9,0.5,0.3,0.4,1,2.2,11.2,0,0,2.7,9,9.4,11,10,51.7,5
John,Konchar,MEM,27,6,5,77,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,72,45,27,20.7,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,0.9,3.4,4.3,1.4,0.5,1.1,0.3,1.6,16,2,0,2.9,7,4,15.2,10,54.2,8.2
Furkan,Korkmaz,PHI,25,6,7,79,202,None,Turkey,2016,1,26,37,24,13,9.6,3.8,1.3,3,43.2,0.5,1.2,39.1,0.7,1,72.2,0.2,1,1.1,0.6,0.6,0.3,0.1,0.5,6.4,0,0,0.1,1.4,1.7,9.9,17.6,55.2,9.1
Luke,Kornet,BOS,27,7,2,86,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,69,45,24,11.7,3.8,1.6,2.5,66.5,0,0.2,23.1,0.5,0.6,82.1,1.2,1.6,2.9,0.8,0.4,0.2,0.7,1.2,10.5,0,0,0.9,3.9,10.6,12.5,11.1,69.7,9.3
Vit,Krejci,ATL,23,6,8,80,195,None,Czech Republic,2020,2,37,29,15,14,5.7,1.2,0.5,1.3,40.5,0.2,0.7,23.8,0,0.1,50,0.2,0.7,0.9,0.6,0.2,0.2,0,0.6,3.6,0,0,-0.1,-1.8,3.6,12.5,10.8,47.5,13.7
Jonathan,Kuminga,GSW,20,6,7,79,225,None,DRC,2021,1,7,67,38,29,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37,1.3,2.1,65.2,1,2.4,3.4,1.9,1.4,0.6,0.5,2.3,18.7,1,0,-0.8,-1.4,5.2,11.3,19.5,59.7,13.2
Kyle,Kuzma,WAS,27,6,9,81,221,Utah,USA,2017,1,27,64,29,35,35,21.2,8,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73,0.9,6.4,7.2,3.7,3,0.6,0.5,2.3,35.6,14,1,0.2,0.3,2.5,17.2,27.3,54.4,16.4
Anthony,Lamb,GSW,25,6,6,78,227,Vermont,USA,Undrafted,Undrafted,Undrafted,62,36,26,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1,76.7,0.9,2.6,3.5,1.5,0.9,0.5,0.3,2.2,14.6,0,0,0.5,1.7,4.7,12.9,13.6,61,11.1
Jock,Landale,PHX,27,6,11,83,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,69,35,34,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25,1.1,1.5,75.2,1.7,2.3,4.1,1,0.9,0.2,0.4,1.8,14.1,3,0,2,7.9,11.4,16.4,18.2,59.5,10.1
Romeo,Langford,SAS,23,6,5,77,216,Indiana,USA,2019,1,14,43,14,29,19.6,6.9,2.8,6,46.7,0.4,1.4,26.2,0.9,1.3,69.6,1.3,1.3,2.7,1.2,0.7,0.6,0.3,1.6,13.7,0,0,-4.2,-8.5,6,6.7,14.8,52.4,8
